login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license
sadanandpai,sadanandpai/purefrontend,2020-06-25T11:10:03Z,204,204,TypeScript,TRUE,TRUE,
raisedadead,raisedadead/portfolio,2015-12-18T18:18:59Z,21,21,TypeScript,FALSE,FALSE,isc
sadanandpai,sadanandpai/javascript-code-challenges,2020-11-20T13:10:04Z,4254,4254,MDX,TRUE,TRUE,mit
dhruvmanila,dhruvmanila/dotfiles,2020-09-11T16:36:38Z,21,21,Lua,FALSE,FALSE,mit
collabnix,collabnix/awesome-testcontainers,2024-10-09T11:49:44Z,42,42,,TRUE,TRUE,
knadh,knadh/listmonk,2019-06-26T05:08:39Z,15088,15088,Go,TRUE,FALSE,agpl-3.0
raisedadead,raisedadead/homelab,2023-02-17T11:58:25Z,6,6,HCL,TRUE,FALSE,isc
raisedadead,raisedadead/freeCodeCamp,2021-02-21T06:34:34Z,2,2,TypeScript,FALSE,FALSE,bsd-3-clause
theapache64,theapache64/benchart,2022-11-15T14:21:25Z,137,137,Kotlin,TRUE,TRUE,apache-2.0
raisedadead,raisedadead/action-docr-cleanup,2023-09-13T23:16:27Z,3,3,Shell,TRUE,FALSE,mit
aakashns,aakashns/aakashns,2020-12-11T03:58:14Z,1,1,,TRUE,TRUE,
Shubham0812,Shubham0812/Matrix_UI,2024-10-28T08:16:34Z,0,0,Swift,TRUE,FALSE,mit
scaleracademy,scaleracademy/DevOps-Introduction-Assignments-Git-GitHub-and-YAML,2024-10-26T21:58:33Z,0,0,,TRUE,TRUE,
adityaoberai,adityaoberai/auth-demo,2024-10-23T15:02:24Z,0,0,Svelte,TRUE,TRUE,
raisedadead,raisedadead/travel-router,2024-06-23T15:01:54Z,3,3,Vim Script,FALSE,FALSE,isc
aashutoshrathi,aashutoshrathi/aashutoshrathi,2020-07-09T06:56:51Z,10,10,,TRUE,TRUE,
sadanandpai,sadanandpai/frontend-mini-challenges,2021-06-28T17:36:25Z,2076,2076,JavaScript,FALSE,FALSE,mit
raisedadead,raisedadead/dotfiles,2017-06-30T13:41:38Z,10,10,Shell,FALSE,FALSE,isc
scaleracademy,scaleracademy/devops-opensource-project,2024-10-20T14:08:29Z,0,0,,TRUE,TRUE,
Shubham0812,Shubham0812/iOS-Event-Notes,2024-10-19T07:17:45Z,6,6,,TRUE,TRUE,
raisedadead,raisedadead/Brewfile,2017-06-30T19:58:13Z,4,4,Ruby,FALSE,FALSE,unlicense
ajeetraina,ajeetraina/awesome-testcontainers,2024-10-09T12:57:49Z,0,0,,TRUE,TRUE,
collabnix,collabnix/awesome-docker-scout,2023-08-25T10:12:01Z,20,20,,TRUE,TRUE,
DeekshithSN,DeekshithSN/AWS-Terraform,2020-09-04T08:54:41Z,8,8,HCL,TRUE,TRUE,
sadanandpai,sadanandpai/frontend-learning-kit,2021-06-05T04:17:15Z,4327,4327,,TRUE,TRUE,mit
raisedadead,raisedadead/github-ssh-keys-demo,2022-06-12T12:06:58Z,2,2,TypeScript,TRUE,TRUE,isc
dhruvmanila,dhruvmanila/neovim,2021-05-17T06:08:56Z,1,1,Vim Script,TRUE,TRUE,other
knadh,knadh/koanf,2019-06-18T06:34:05Z,2768,2768,Go,TRUE,TRUE,mit
theapache64,theapache64/auto-motion,2021-02-21T10:58:38Z,5,5,Kotlin,TRUE,TRUE,apache-2.0
raisedadead,raisedadead/contribute,2024-05-21T06:48:04Z,0,0,MDX,TRUE,FALSE,bsd-3-clause
goru001,goru001/goru001.github.io,2019-12-15T08:24:20Z,2,2,Liquid,TRUE,TRUE,mit
aashutoshrathi,aashutoshrathi/awesome-micro-rollups,2024-03-16T12:35:01Z,7,7,,TRUE,TRUE,
knadh,knadh/floatype.js,2023-11-25T17:46:48Z,87,87,JavaScript,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/github-readme-stats,2022-10-28T16:39:35Z,8,8,JavaScript,TRUE,FALSE,mit
theapache64,theapache64/bucker,2024-08-15T14:25:44Z,2,2,Kotlin,TRUE,TRUE,
aakashns,aakashns/aakashns.com,2023-12-05T05:32:31Z,1,1,CSS,TRUE,TRUE,mit
DeekshithSN,DeekshithSN/flipkart,2024-08-03T14:17:44Z,1,1,,FALSE,FALSE,
rbhatia46,rbhatia46/Data-Science-Interview-Resources,2018-11-22T19:48:36Z,2752,2752,,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/DSAlgo,2021-11-18T06:07:17Z,2092,2092,Python,TRUE,TRUE,other
Shubham0812,Shubham0812/Download_UI,2024-08-04T09:15:22Z,0,0,,TRUE,TRUE,apache-2.0
knadh,knadh/git-bars,2018-11-27T11:07:43Z,95,95,Python,TRUE,TRUE,mit
knadh,knadh/dictpress,2019-08-25T07:32:32Z,360,360,Go,TRUE,TRUE,agpl-3.0
dhruvmanila,dhruvmanila/nvim-lspconfig,2024-03-09T05:31:41Z,0,0,Lua,TRUE,TRUE,apache-2.0
aagarwal1012,aagarwal1012/Image-Steganography-Library-Android,2018-05-15T05:58:39Z,154,154,Java,TRUE,TRUE,mit
raisedadead,raisedadead/infra,2024-07-09T22:35:57Z,0,0,HCL,TRUE,FALSE,bsd-3-clause
raisedadead,raisedadead/template-nodejs,2022-06-11T14:54:34Z,0,0,,TRUE,FALSE,isc
collabnix,collabnix/awesome-localstack,2024-07-08T09:08:45Z,0,0,,TRUE,TRUE,
SamirPaulb,SamirPaulb/hugo-PaperMod,2024-01-08T13:40:01Z,4,4,HTML,TRUE,TRUE,mit
adityaoberai,adityaoberai/.NET-OpenAI-Sample,2024-07-03T13:16:09Z,0,0,C#,TRUE,TRUE,
raisedadead,raisedadead/dotfiles-macos,2018-01-10T13:08:40Z,3,3,JavaScript,FALSE,FALSE,
knadh,knadh/dns.toys,2022-06-01T17:21:33Z,2497,2497,Go,FALSE,FALSE,mit
aashutoshrathi,aashutoshrathi/backup-blog.aashutosh.dev,2022-11-26T15:52:36Z,2,2,,TRUE,TRUE,
aakashns,aakashns/anatomy-of-a-form,2024-06-16T11:10:29Z,0,0,JavaScript,TRUE,TRUE,
dhruvmanila,dhruvmanila/nvim-lint,2021-04-06T15:25:10Z,1,1,Lua,TRUE,TRUE,gpl-3.0
ajeetraina,ajeetraina/arm-learning-paths,2024-06-24T16:20:45Z,0,0,JavaScript,TRUE,TRUE,other
dhruvmanila,dhruvmanila/Automated-Fuzzer,2024-06-24T10:42:35Z,0,0,Rust,TRUE,TRUE,
connectit2anand,connectit2anand/ComapnyNameAssignment,2024-06-24T03:06:29Z,0,0,,TRUE,TRUE,
aagarwal1012,aagarwal1012/Animated-Text-Kit,2018-08-03T10:53:45Z,1668,1668,Dart,TRUE,TRUE,mit
krishnadey30,krishnadey30/LeetCode-Questions-CompanyWise,2020-08-11T14:57:24Z,11338,11338,,TRUE,TRUE,
raisedadead,raisedadead/zsh-snr,2024-06-18T06:33:16Z,0,0,Shell,TRUE,TRUE,isc
DeekshithSN,DeekshithSN/images,2024-06-12T05:03:34Z,1,1,,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/apps-android-wikipedia,2024-06-12T05:09:23Z,0,0,,TRUE,FALSE,apache-2.0
aashutoshrathi,aashutoshrathi/bun,2024-06-01T11:19:25Z,0,0,Zig,TRUE,FALSE,other
sadanandpai,sadanandpai/dsa-interview-challenges,2021-05-01T14:49:15Z,374,374,MDX,TRUE,TRUE,mit
mitesh77,mitesh77/Best-Flutter-UI-Templates,2019-09-02T08:36:18Z,20393,20393,Dart,TRUE,TRUE,other
theapache64,theapache64/avgizer,2022-08-25T09:50:46Z,4,4,Kotlin,TRUE,TRUE,apache-2.0
aryan-0077,aryan-0077/Competitive-Programming,2023-01-22T17:19:26Z,20,20,,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/DSA,2024-05-03T15:57:04Z,0,0,JavaScript,TRUE,TRUE,
adityaoberai,adityaoberai/AI-Crystal-Ball,2024-04-18T13:08:27Z,1,1,Svelte,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Extended-Notes,2023-03-11T14:49:10Z,0,0,JavaScript,TRUE,TRUE,
theapache64,theapache64/backgroundthreadpoc,2024-05-16T07:36:23Z,0,0,Kotlin,TRUE,TRUE,
adityaoberai,adityaoberai/Alt-Text-Generator,2023-04-29T13:19:08Z,137,137,Svelte,TRUE,TRUE,gpl-3.0
raisedadead,raisedadead/zsh-touchplus,2023-05-10T12:21:10Z,3,3,Shell,FALSE,FALSE,isc
theapache64,theapache64/auto-weather-control,2024-04-05T19:16:10Z,2,2,C++,TRUE,FALSE,
raisedadead,raisedadead/dotfiles-nvim,2023-05-10T19:39:53Z,1,1,,TRUE,TRUE,isc
adityaoberai,adityaoberai/adityaoberai,2020-10-01T13:25:29Z,5,5,,TRUE,TRUE,
krishnadey30,krishnadey30/FyleApp,2019-07-25T20:20:30Z,1,1,Python,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Interview-Questions,2023-03-06T11:03:40Z,1,1,,TRUE,TRUE,
knadh,knadh/dragmove.js,2020-09-15T10:07:26Z,829,829,JavaScript,TRUE,TRUE,mit
sadanandpai,sadanandpai/algo-visualizers,2021-06-05T05:45:43Z,678,678,TypeScript,TRUE,TRUE,mit
adityaoberai,adityaoberai/appwrite-email-otp-demo,2024-04-04T21:00:34Z,1,1,Svelte,TRUE,TRUE,
raisedadead,raisedadead/zsh-smartinput,2024-03-06T08:37:31Z,1,1,Shell,TRUE,TRUE,mit
raisedadead,raisedadead/zsh-gso,2023-09-03T23:21:10Z,1,1,Shell,TRUE,TRUE,isc
dhruvmanila,dhruvmanila/browser-bookmarks.nvim,2021-04-22T12:29:56Z,206,206,Lua,TRUE,TRUE,mit
dhruvmanila,dhruvmanila/conform.nvim,2024-03-24T06:37:46Z,0,0,,TRUE,FALSE,mit
raisedadead,raisedadead/zsh-awsssh,2024-02-20T09:48:53Z,3,3,Shell,FALSE,FALSE,isc
knadh,knadh/csv2json,2021-10-23T14:12:48Z,39,39,Zig,TRUE,TRUE,mit
adityaoberai,adityaoberai/appwrite-livestream-react-vs-svelte,2024-03-20T17:41:03Z,0,0,JavaScript,TRUE,TRUE,
shyvum,shyvum/Canape,2018-10-18T16:04:38Z,4,4,HTML,TRUE,TRUE,mit
DeekshithSN,DeekshithSN/CICD_Java_gradle_application,2021-10-03T11:03:24Z,104,104,HTML,TRUE,TRUE,
SamirPaulb,SamirPaulb/interviewbit,2023-08-12T11:24:45Z,4,4,HTML,TRUE,TRUE,
ajeetraina,ajeetraina/.github-1,2024-10-09T14:42:57Z,0,0,,TRUE,TRUE,
theapache64,theapache64/android-benchmark,2023-07-27T03:52:38Z,3,3,Kotlin,TRUE,TRUE,
knadh,knadh/go-pop3,2021-06-27T14:41:55Z,77,77,Go,TRUE,TRUE,mit
raisedadead,raisedadead/ama,2017-10-23T20:30:50Z,10,10,,FALSE,FALSE,
raisedadead,raisedadead/template,2023-05-10T12:10:55Z,0,0,,TRUE,TRUE,isc
adityaoberai,adityaoberai/BackgroundRemover,2023-10-13T13:07:08Z,21,21,Svelte,TRUE,TRUE,bsd-3-clause
goru001,goru001/inltk,2019-03-23T08:28:20Z,816,816,Python,TRUE,TRUE,mit
scaleracademy,scaleracademy/dsml-december-advance-python,2023-12-20T17:22:54Z,1,1,Jupyter Notebook,TRUE,TRUE,
dhruvmanila,dhruvmanila/advent-of-code,2020-08-30T03:56:41Z,4,4,Go,TRUE,TRUE,mit
aakashns,aakashns/clojurescript-cloudflare-pages,2024-01-01T11:41:47Z,3,3,Clojure,TRUE,TRUE,mit
aakashns,aakashns/cloudflare-clojurescript-htmx-demo,2024-01-01T09:45:08Z,0,0,,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/ide,2022-07-14T10:33:01Z,16,16,HTML,TRUE,TRUE,
collabnix,collabnix/awesome-ioc-scanner-cve,2023-11-15T10:28:53Z,1,1,,TRUE,TRUE,
scaleracademy,scaleracademy/dsml-feb23-beginner-mon1,2023-11-10T14:29:18Z,0,0,Jupyter Notebook,TRUE,TRUE,
theapache64,theapache64/aoc-2023,2023-12-01T10:03:37Z,0,0,Kotlin,TRUE,TRUE,
knadh,knadh/autocomp.js,2023-08-27T17:42:34Z,307,307,JavaScript,FALSE,FALSE,mit
aashutoshrathi,aashutoshrathi/class-validator,2023-11-28T17:07:41Z,0,0,,TRUE,FALSE,mit
scaleracademy,scaleracademy/dsml-feb23-beginner-morning-tue,2023-04-21T03:53:04Z,6,6,Jupyter Notebook,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Contact-Card-Design,2023-11-22T05:41:50Z,1,1,CSS,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/CSS-Card-Design,2023-11-21T05:15:41Z,0,0,HTML,TRUE,TRUE,
aakashns,aakashns/htadotai,2023-09-13T17:36:45Z,2,2,TypeScript,FALSE,FALSE,mit
pranavhunagund1993,pranavhunagund1993/CSS-Modal,2023-11-12T15:27:54Z,0,0,HTML,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/CSS-Challenge-3,2023-11-10T12:45:27Z,0,0,CSS,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/CSS-Challenge-2,2023-11-09T11:16:28Z,0,0,CSS,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/CSS-Challenge-1,2023-11-08T08:40:33Z,0,0,CSS,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Card-UI,2023-11-07T12:35:36Z,0,0,CSS,TRUE,TRUE,
connectit2anand,connectit2anand/spring-security,2023-11-06T05:50:53Z,0,0,Java,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/AXIT-Webpage,2023-11-05T17:19:57Z,0,0,CSS,TRUE,TRUE,
ajeetraina,ajeetraina/avatars,2023-11-01T14:45:04Z,0,0,JavaScript,TRUE,FALSE,
Shubham0812,Shubham0812/DailyTracker_UI,2023-10-07T16:01:53Z,11,11,Swift,TRUE,TRUE,apache-2.0
raisedadead,raisedadead/renovate-config,2022-06-15T05:14:10Z,2,2,,TRUE,TRUE,bsd-3-clause
SamirPaulb,SamirPaulb/MakeNotes,2021-05-05T10:59:56Z,21,21,JavaScript,TRUE,TRUE,
SamirPaulb,SamirPaulb/link,2021-12-21T21:21:39Z,24,24,CSS,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/blog-hugo,2022-10-13T10:04:44Z,6,6,,TRUE,TRUE,cc0-1.0
SamirPaulb,SamirPaulb/music,2021-08-19T19:58:49Z,49,49,JavaScript,TRUE,TRUE,
SamirPaulb,SamirPaulb/blog-jekyll,2022-10-25T10:15:06Z,9,9,HTML,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/links,2021-12-21T18:40:36Z,101,101,HTML,TRUE,TRUE,
SamirPaulb,SamirPaulb/autocomplete,2022-12-16T18:03:27Z,12,12,HTML,TRUE,TRUE,gpl-3.0
SamirPaulb,SamirPaulb/FileCompressor,2022-06-06T17:32:08Z,25,25,Python,TRUE,TRUE,
SamirPaulb,SamirPaulb/CodeforcesVisualizer,2021-05-05T12:07:10Z,18,18,HTML,TRUE,TRUE,
SamirPaulb,SamirPaulb/moreThanFAANGM,2022-05-10T03:47:47Z,13,13,,TRUE,TRUE,mit
pranavhunagund1993,pranavhunagund1993/Cloud-Hoisting-Service-UI,2023-10-26T05:02:36Z,0,0,HTML,TRUE,TRUE,
knadh,knadh/dont.build,2022-03-06T09:51:05Z,214,214,HTML,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Creative-Portfolio,2023-10-23T07:52:41Z,1,1,HTML,TRUE,TRUE,
connectit2anand,connectit2anand/connectit2anand,2023-04-23T16:06:10Z,0,0,,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Chat-Interface,2023-10-21T04:54:13Z,0,0,HTML,TRUE,TRUE,
connectit2anand,connectit2anand/bluno-technologies-pvt-ltd,2023-10-19T16:38:32Z,0,0,Java,TRUE,TRUE,
connectit2anand,connectit2anand/test,2023-10-19T16:36:39Z,0,0,,TRUE,TRUE,
SamirPaulb,SamirPaulb/LeetCode,2021-01-17T10:42:37Z,48,48,Python,TRUE,TRUE,other
pranavhunagund1993,pranavhunagund1993/Bike-UI-SVG,2023-10-12T05:48:20Z,2,2,HTML,TRUE,TRUE,
aagarwal1012,aagarwal1012/IntroViews-Flutter,2018-06-11T06:55:06Z,664,664,Dart,TRUE,TRUE,mit
SoumyaSagnik,SoumyaSagnik/Github-Insights,2023-10-08T17:39:13Z,0,0,,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Breakout-Game,2023-10-07T16:03:32Z,1,1,JavaScript,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/java-keyring,2024-03-06T06:04:56Z,0,0,,TRUE,TRUE,other
ragunathjawahar,ragunathjawahar/ensemble-kata,2023-09-28T12:31:04Z,3,3,Kotlin,TRUE,TRUE,
raisedadead,raisedadead/terraform-beginner-bootcamp-2023,2023-09-23T16:46:28Z,0,0,HTML,TRUE,FALSE,mit
raisedadead,raisedadead/ansible,2023-09-23T06:17:42Z,0,0,,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/3D-Product-Card,2023-09-20T10:47:13Z,0,0,CSS,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/CSS-Loaders,2023-09-16T12:23:43Z,0,0,CSS,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Cosmo-Junkie-UI,2023-09-14T07:21:20Z,0,0,CSS,TRUE,TRUE,
connectit2anand,connectit2anand/Goldilocks_Assignment,2023-09-07T04:18:48Z,0,0,JavaScript,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Catch-The-Insect-Game,2023-09-12T16:13:47Z,2,2,JavaScript,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/GildedRose-Refactoring-Kata,2023-09-11T07:52:07Z,0,0,C++,TRUE,TRUE,mit
raisedadead,raisedadead/karabiner-elements-complex-modifications,2022-08-07T19:32:51Z,1,1,,FALSE,FALSE,mit
raisedadead,raisedadead/raisedadead,2022-09-27T06:35:24Z,2,2,,FALSE,FALSE,
raisedadead,raisedadead/dotfiles-linux,2020-09-11T11:01:22Z,0,0,Ruby,TRUE,TRUE,
DeekshithSN,DeekshithSN/Helm_charts,2020-04-03T06:46:00Z,37,37,Mustache,TRUE,TRUE,
connectit2anand,connectit2anand/anandBus,2023-08-26T10:49:06Z,0,0,JavaScript,TRUE,TRUE,
adityaoberai,adityaoberai/.NET-Appwrite-Todo-API,2023-07-07T10:07:12Z,3,3,C#,TRUE,TRUE,bsd-3-clause
DeekshithSN,DeekshithSN/calculator,2023-09-03T01:48:06Z,1,1,,TRUE,TRUE,
DeekshithSN,DeekshithSN/cart,2023-09-03T01:47:21Z,1,1,,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/3D-Boxes-Background,2023-09-02T13:11:06Z,1,1,CSS,TRUE,TRUE,
pranavhunagund1993,pranavhunagund1993/Animated-Countdown,2023-08-27T12:47:10Z,1,1,CSS,TRUE,TRUE,
knadh,knadh/indic.page,2020-11-22T08:22:08Z,55,55,HTML,TRUE,FALSE,cc-by-sa-4.0
